ID	label	class	subclass	dcterms:title	dcterms:alternative	krsc:isnicode	krsc:birthdate	krsc:deathdate	schema:gender	krsc:nationality	schema:jobTitle	krsc:imageURL	foaf:made	krsc:organize	krsc:organizedBy	krsc:plan	foaf:knows	krsc:mixing	krsc:mastering	krsc:participate	foaf:member	krsc:isMemberof	krsc:isProductionAgencyOf	krsc:isPublishingCompanyOf	krsc:isPerformancedAt	krsc:isInvolvedIn	krsc:isPredecessorOf	krsc:hasAssessment	krsc:mentionedIn	dcterms:isReferencedBy	dcterms:references
Agent_001	사이드비(Side-B)	foaf:Agent	foaf:Group	사이드비(Side-B)	사이드비 / Side B	0000 0004 6338 665X	1999-00-00			대한민국			Word Up / B Boy Style(New Recording Ver.)							MP HIPHOP 2000 초	G.A.S.S / T'ache / Niddle				클럽 마스터플랜					https://namu.wiki/w/사이드%20비	
Agent_002	G.A.S.S	foaf:Agent	foaf:Person	배준	G.A.S.S / 가스				male													사이드비(Side-B)			클럽 마스터플랜						
Agent_003	T'ache	foaf:Agent	foaf:Person	임희택	T'ache / Tache / 테이크	0000 0005 0357 7160	1979-00-00		male	대한민국			주사위 / 초...				G.A.S.S / Niddle			MP HIPHOP 2000 초		사이드비(Side-B)			클럽 마스터플랜					https://lod.nl.go.kr/page/KAC201907392	
Agent_004	Niddle	foaf:Agent	foaf:Person	이창의	Niddle / DJ Tactics	0000 0004 7666 1091			male								Charmeleon(박홍신)			MP HIPHOP 2000 초		사이드비(Side-B) / 마스터플랜			클럽 마스터플랜						
Agent_005	DJ 소울스케이프	foaf:Agent	foaf:Person	박민준	DJ SOULSCAPE / 에스피오네 / Espionne	0000 0004 5931 6456	1979-07-21		male	대한민국	프로듀서 / DJ		주사위				Tequila Addicted														
Agent_006	Penny	foaf:Agent	foaf:Person	도성일	Penny / Pe2ny		1980-03-08		male																						
Agent_007	SOUL CHAMBER	foaf:Agent	foaf:Group	SOUL CHAMBER																	DJ 소울스케이프 / Penny										
Agent_008	다크루	foaf:Agent	foaf:Group	Da_Crew	다크루																										
Agent_009	Saatan	foaf:Agent	foaf:Person	서재민	Saatan / Artisan Beats				male																						
Agent_010	Seven	foaf:Agent	foaf:Person	최재원	Seven / 세븐				male																						
Agent_011	주석	foaf:Agent	foaf:Person	박주석	주석 / JOOSUC	0000 0003 7288 3001	1978-10-30		male	대한민국	래퍼 / 프로듀서		배수의 진 / 진(眞)vs위(僞) / 주사위 / 초...				MC 메타 / 나찰			MP HIPHOP 2000 초 / Get Down M/V		SOUTHSIDE ALLSTARZ / 마스터플랜			클럽 마스터플랜					https://ko.wikipedia.org/wiki/주석_(가수)	
Agent_012	원썬	foaf:Agent	foaf:Person	김선일	원썬 / OneSun		1978-11-17		male																						
Agent_013	인피닛플로우	foaf:Agent	foaf:Group	Infinite_Flow	I.F																										
Agent_014	비즈니즈	foaf:Agent	foaf:Person	하원택	Bizniz		1982-03-16		male																						
Agent_015	넋업샨	foaf:Agent	foaf:Person	배한준	넋업샨		1979-09-20		male																						
Agent_016	가리온	foaf:Agent	foaf:Group	가리온	Garion		1998-00-00													KBS_현장르포_제3지대_19981221											
